2023-09-26 10:05:41 - ID: Auniz-5867, Name: Auniz, Level: 27, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Kikandri-53809, Name: Kikandri, Level: 16, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Thamli-63850, Name: Thamli, Level: 29, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Tanexx-9766, Name: Tanexx, Level: 32, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Calleballe-29848, Name: Calleballe, Level: 16, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Arthurdent-16600, Name: Arthurdent, Level: 60, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Hornzz-61895, Name: Hornzz, Level: 17, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Svenlynn-39508, Name: Svenlynn, Level: 13, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Trituss-37136, Name: Trituss, Level: 53, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Razbros-40934, Name: Razbros, Level: 6, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Novoidwalker-47, Name: Novoidwalker, Level: 22, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Braxxlock-5153, Name: Braxxlock, Level: 20, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Xullna-61230, Name: Xullna, Level: 25, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Seesaw-49306, Name: Seesaw, Level: 15, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Brazzulv-2206, Name: Brazzulv, Level: 13, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Vïp-1545, Name: Vïp, Level: 22, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Rèflékz-62819, Name: Rèflékz, Level: 41, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Erythnul-17961, Name: Erythnul, Level: 13, Race: Unknown, Class: Unknown
2023-09-26 10:05:41 - ID: Wéz-12072, Name: Wéz, Level: 20, Race: Unknown, Class: Unknown
